Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
VWD	PF00094.28	-	35	179	35	179	1	157	92.76	2.8e-26	1.0e-29	von Willebrand factor type D domain
VWD	PF00094.28	-	388	541	388	540	1	156	137.14	6.2e-40	2.2e-43	von Willebrand factor type D domain
VWD	PF00094.28	-	867	1013	867	1011	1	155	107.74	7.0e-31	2.5e-34	von Willebrand factor type D domain
VWD	PF00094.28	-	1950	2102	1950	2102	1	157	114.44	6.0e-33	2.1e-36	von Willebrand factor type D domain
VWA	PF00092.31	CL0128	1277	1452	1277	1449	1	172	60.78	2.1e-16	7.6e-20	von Willebrand factor type A domain
VWA	PF00092.31	CL0128	1498	1660	1498	1645	1	154	97.74	9.5e-28	3.4e-31	von Willebrand factor type A domain
VWA	PF00092.31	CL0128	1691	1862	1691	1859	1	171	113.44	1.4e-32	5.2e-36	von Willebrand factor type A domain
C8	PF08742.14	-	224	291	224	291	1	67	59.83	2.6e-16	9.2e-20	C8 domain
C8	PF08742.14	-	583	648	584	648	2	67	68.68	4.4e-19	1.6e-22	C8 domain
C8	PF08742.14	-	1059	1126	1060	1126	2	67	65.54	4.3e-18	1.5e-21	C8 domain
C8	PF08742.14	-	2138	2199	2138	2199	1	67	55.15	7.5e-15	2.7e-18	C8 domain
VWA_N2	PF16164.8	-	1198	1276	1198	1276	1	79	139.13	4.0e-41	1.4e-44	VWA N-terminal
TIL	PF01826.20	-	295	348	295	348	1	55	43.71	2.5e-11	8.9e-15	Trypsin Inhibitor like cysteine rich domain
TIL	PF01826.20	-	652	707	652	707	1	55	46.44	3.5e-12	1.2e-15	Trypsin Inhibitor like cysteine rich domain
TIL	PF01826.20	-	776	827	787	827	13	55	25.00	1.7e-05	6.2e-09	Trypsin Inhibitor like cysteine rich domain
TIL	PF01826.20	-	1141	1196	1145	1196	6	55	28.91	1.0e-06	3.7e-10	Trypsin Inhibitor like cysteine rich domain
VWA_2	PF13519.9	CL0128	1499	1611	1499	1609	1	106	32.60	1.1e-07	3.9e-11	von Willebrand factor type A domain
VWA_2	PF13519.9	CL0128	1692	1804	1692	1802	1	106	33.04	7.9e-08	2.8e-11	von Willebrand factor type A domain
VWC	PF00093.21	CL0451	2257	2327	2257	2325	1	57	28.31	1.8e-06	6.3e-10	von Willebrand factor type C domain
VWC	PF00093.21	CL0451	2431	2494	2431	2494	1	57	34.81	1.6e-08	5.9e-12	von Willebrand factor type C domain
VWC	PF00093.21	CL0451	2582	2644	2582	2644	1	57	32.44	9.0e-08	3.2e-11	von Willebrand factor type C domain
