Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
LRR_8	PF13855.9	CL0022	118	165	127	163	23	59	28.41	1.1e-06	3.4e-10	Leucine rich repeat
LRR_8	PF13855.9	CL0022	129	189	129	174	1	46	27.87	1.6e-06	4.9e-10	Leucine rich repeat
LRR_8	PF13855.9	CL0022	179	237	181	237	3	61	32.08	7.9e-08	2.4e-11	Leucine rich repeat
LRR_4	PF12799.10	CL0022	99	150	99	144	1	38	29.49	7.6e-07	2.3e-10	Leucine Rich repeats (2 copies)
LRR_4	PF12799.10	CL0022	202	243	203	238	2	36	30.93	2.7e-07	8.2e-11	Leucine Rich repeats (2 copies)
LRR_1	PF00560.36	CL0022	130	151	130	148	1	20	9.30	2.1	0.00066	Leucine Rich Repeat
LRR_1	PF00560.36	CL0022	154	175	154	173	1	20	10.99	0.6	0.00018	Leucine Rich Repeat
LRR_1	PF00560.36	CL0022	203	224	203	219	1	17	10.79	0.7	0.00021	Leucine Rich Repeat
LRR_6	PF13516.9	CL0022	200	215	201	214	2	15	8.76	2.1	0.00065	Leucine Rich repeat
B3_4	PF03483.20	CL0383	332	501	372	492	50	133	34.30	1.9e-08	5.8e-12	B3/4 domain
