Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Ank_4	PF13637.9	CL0465	960	1012	961	1012	3	55	51.58	1.0e-13	4.2e-17	Ankyrin repeats (many copies)
Ank_2	PF12796.10	CL0465	930	1021	936	1017	7	78	61.11	1.2e-16	5.1e-20	Ankyrin repeats (3 copies)
Ank	PF00023.33	CL0465	958	990	959	989	2	32	23.62	5.2e-05	2.1e-08	Ankyrin repeat
Ank	PF00023.33	CL0465	991	1023	991	1018	1	28	26.66	5.7e-06	2.3e-09	Ankyrin repeat
Ank_3	PF13606.9	CL0465	958	987	958	987	1	31	23.34	5.7e-05	2.3e-08	Ankyrin repeat
Ank_3	PF13606.9	CL0465	991	1019	991	1017	1	28	22.30	0.00012	5.0e-08	Ankyrin repeat
SH3_1	PF00018.31	CL0010	1063	1111	1064	1110	2	47	44.52	9.2e-12	3.7e-15	SH3 domain
SH3_9	PF14604.9	CL0010	1064	1114	1064	1112	1	46	41.53	1.0e-10	4.1e-14	Variant SH3 domain
Ank_5	PF13857.9	CL0465	950	999	953	997	10	54	31.34	1.9e-07	7.7e-11	Ankyrin repeats (many copies)
SH3_2	PF07653.20	CL0010	1061	1116	1064	1114	4	54	27.61	2.0e-06	8.2e-10	Variant SH3 domain
