Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
zf-CCHC	PF00098.26	CL0511	4	21	5	20	2	17	32.02	8.9e-08	1.8e-11	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	52	69	53	68	2	17	30.91	2.0e-07	4.1e-11	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	72	89	73	89	2	18	28.69	1.0e-06	2.0e-10	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	96	113	97	113	2	18	29.99	3.9e-07	7.9e-11	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	117	134	117	134	1	18	28.22	1.4e-06	2.9e-10	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	135	152	136	152	2	18	27.46	2.5e-06	5.0e-10	Zinc knuckle
zf-CCHC	PF00098.26	CL0511	156	173	157	172	2	17	31.62	1.2e-07	2.4e-11	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	3	21	6	20	34	48	10.60	0.36	7.4e-05	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	44	69	50	68	30	48	12.63	0.085	1.7e-05	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	71	89	73	88	33	48	13.98	0.032	6.5e-06	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	93	113	97	112	33	48	8.42	1.7	0.00036	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	116	134	119	134	34	49	12.67	0.082	1.7e-05	Zinc knuckle
zf-CCHC_4	PF14392.9	CL0511	135	152	137	151	34	48	6.42	7.3	0.0015	Zinc knuckle
zf-CCHC_3	PF13917.9	CL0511	2	32	5	21	6	22	16.90	0.0049	1.0e-06	Zinc knuckle
zf-CCHC_3	PF13917.9	CL0511	152	177	156	172	5	21	12.77	0.097	2.0e-05	Zinc knuckle
