Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
EGF_CA	PF07645.18	CL0001	434	474	434	474	1	42	38.69	9.2e-10	3.3e-13	Calcium-binding EGF domain
EGF_CA	PF07645.18	CL0001	476	516	478	512	3	39	29.46	7.1e-07	2.5e-10	Calcium-binding EGF domain
EGF_CA	PF07645.18	CL0001	549	594	549	582	1	34	29.49	6.9e-07	2.5e-10	Calcium-binding EGF domain
EGF_CA	PF07645.18	CL0001	596	636	596	627	1	32	32.92	5.9e-08	2.1e-11	Calcium-binding EGF domain
VWC	PF00093.21	CL0451	273	331	273	331	1	57	39.61	5.2e-10	1.9e-13	von Willebrand factor type C domain
VWC	PF00093.21	CL0451	694	749	699	749	4	57	37.87	1.8e-09	6.5e-13	von Willebrand factor type C domain
EGF_3	PF12947.10	CL0001	480	515	480	515	1	36	39.36	5.6e-10	2.0e-13	EGF domain
cEGF	PF12662.10	CL0001	572	599	572	599	1	24	27.01	3.3e-06	1.2e-09	Complement Clr-like EGF-like
TILa	PF12714.10	CL0451	271	318	273	312	2	42	28.82	9.3e-07	3.3e-10	TILa domain
Laminin_G_2	PF02210.27	CL0004	95	206	99	174	6	80	23.07	9.8e-05	3.5e-08	Laminin G domain
