Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
U-box	PF04564.18	CL0229	227	299	227	299	1	73	105.70	1.1e-30	6.3e-34	U-box domain
CHIP_TPR_N	PF18391.4	CL0020	142	225	142	225	1	83	92.56	2.1e-26	1.2e-29	CHIP N-terminal tetratricopeptide repeat domain
TPR_1	PF00515.31	CL0020	60	93	61	90	2	31	36.45	2.9e-09	1.6e-12	Tetratricopeptide repeat
TPR_2	PF07719.20	CL0020	60	93	62	91	3	32	24.14	2.6e-05	1.4e-08	Tetratricopeptide repeat
ANAPC3	PF12895.10	CL0020	39	120	41	119	4	81	46.46	3.7e-12	2.1e-15	Anaphase-promoting complex, cyclosome, subunit 3
TPR_16	PF13432.9	CL0020	30	92	32	90	3	64	26.77	6.4e-06	3.6e-09	Tetratricopeptide repeat
TPR_16	PF13432.9	CL0020	64	127	66	122	3	62	28.96	1.3e-06	7.4e-10	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	60	93	62	91	3	32	21.40	0.0002	1.1e-07	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	94	127	95	126	2	33	17.42	0.0038	2.1e-06	Tetratricopeptide repeat
TPR_12	PF13424.9	CL0020	58	126	60	126	3	77	32.45	8.9e-08	5.0e-11	Tetratricopeptide repeat
TPR_19	PF14559.9	CL0020	70	127	71	119	2	50	25.76	1.2e-05	6.8e-09	Tetratricopeptide repeat
