Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PPR	PF01535.23	CL0020	198	228	198	227	1	30	15.27	0.02	7.0e-06	PPR repeat
PPR	PF01535.23	CL0020	233	263	234	263	2	31	14.37	0.038	1.4e-05	PPR repeat
PPR	PF01535.23	CL0020	268	298	269	296	2	29	10.02	0.92	0.00033	PPR repeat
PPR	PF01535.23	CL0020	714	741	714	736	3	25	11.93	0.23	8.1e-05	PPR repeat
PPR	PF01535.23	CL0020	751	779	753	779	5	31	18.45	0.0019	6.7e-07	PPR repeat
PPR	PF01535.23	CL0020	1319	1348	1320	1344	2	26	10.97	0.46	0.00016	PPR repeat
PPR_3	PF13812.9	CL0020	148	209	148	207	1	60	27.89	2.0e-06	7.2e-10	Pentatricopeptide repeat domain
PPR_3	PF13812.9	CL0020	183	231	185	226	3	44	23.40	5.1e-05	1.8e-08	Pentatricopeptide repeat domain
PPR_3	PF13812.9	CL0020	218	280	222	278	5	61	25.28	1.3e-05	4.7e-09	Pentatricopeptide repeat domain
PPR_long	PF17177.7	CL0020	216	341	220	329	78	187	37.15	2.1e-09	7.4e-13	Pentacotripeptide-repeat region of PRORP
