Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
CHDCT2	PF08074.14	-	1732	1878	1733	1878	2	146	261.55	2.1e-78	9.6e-82	CHDCT2 (NUC038) domain
SNF2-rel_dom	PF00176.26	CL0023	703	999	719	998	47	317	219.37	5.9e-65	2.7e-68	SNF2-related domain
CHDII_SANT-like	PF06461.14	-	1388	1529	1390	1528	3	137	204.73	4.9e-61	2.2e-64	CHD subfamily II, SANT-like domain
CHDNT	PF08073.15	CL0114	146	200	150	200	4	54	85.51	1.7e-24	8.0e-28	CHDNT (NUC034) domain
DUF1087	PF06465.16	-	1297	1358	1302	1358	5	65	87.00	7.0e-25	3.2e-28	CHD subfamily II, DUF1087
Helicase_C	PF00271.34	CL0023	1024	1138	1026	1138	3	111	75.20	5.2e-21	2.4e-24	Helicase conserved C-terminal domain
PHD	PF00628.32	CL0390	345	390	345	389	1	51	41.43	1.0e-10	4.8e-14	PHD-finger
PHD	PF00628.32	CL0390	418	463	418	462	1	51	40.10	2.7e-10	1.2e-13	PHD-finger
Chromo	PF00385.27	CL0049	592	644	593	631	2	40	44.46	1.2e-11	5.5e-15	Chromo (CHRromatin Organisation MOdifier) domain
ResIII	PF04851.18	CL0023	698	880	700	878	4	169	32.38	9.3e-08	4.3e-11	Type III restriction enzyme, res subunit
