Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Plectin	PF00681.23	-	1496	1534	1496	1529	1	34	48.07	8.4e-13	1.3e-16	Plectin repeat
Plectin	PF00681.23	-	1572	1610	1572	1610	1	39	48.74	5.2e-13	7.9e-17	Plectin repeat
Plectin	PF00681.23	-	1701	1739	1701	1739	1	39	36.20	4.3e-09	6.6e-13	Plectin repeat
Plectin	PF00681.23	-	1739	1777	1739	1777	1	39	55.12	5.3e-15	8.0e-19	Plectin repeat
Plectin	PF00681.23	-	1815	1853	1815	1853	1	39	55.68	3.5e-15	5.4e-19	Plectin repeat
Plectin	PF00681.23	-	1915	1944	1916	1944	11	39	31.80	1.0e-07	1.6e-11	Plectin repeat
Plectin	PF00681.23	-	2098	2136	2098	2136	1	39	59.89	1.7e-16	2.6e-20	Plectin repeat
Plectin	PF00681.23	-	2174	2212	2174	2212	1	39	39.68	3.5e-10	5.4e-14	Plectin repeat
Spectrin_like	PF18373.4	-	595	672	595	672	1	78	107.36	3.4e-31	5.2e-35	Spectrin like domain
SH3_10	PF17902.4	CL0010	494	560	494	560	1	65	65.41	3.8e-18	5.8e-22	SH3 domain
