Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PRY	PF13765.9	CL0004	309	358	309	358	1	49	74.36	4.4e-21	2.2e-24	SPRY-associated domain
zf-C3HC4_4	PF15227.9	CL0229	29	69	29	69	1	42	55.61	4.5e-15	2.3e-18	zinc finger of C3HC4-type, RING
Rpr2	PF04032.19	-	229	445	369	445	8	90	52.27	5.8e-14	2.9e-17	RNAse P Rpr2/Rpp21/SNM1 subunit domain
zf-C3HC4	PF00097.28	CL0229	29	69	29	69	1	41	47.01	1.8e-12	9.3e-16	Zinc finger, C3HC4 type (RING finger)
zf-RING_UBOX	PF13445.9	CL0229	29	67	29	67	1	40	39.86	3.5e-10	1.8e-13	RING-type zinc-finger
zf-C3HC4_2	PF13923.9	CL0229	28	69	29	69	2	40	38.50	8.1e-10	4.1e-13	Zinc finger, C3HC4 type (RING finger)
zf-C3HC4_3	PF13920.9	CL0229	25	76	27	72	3	46	37.25	2.0e-09	1.0e-12	Zinc finger, C3HC4 type (RING finger)
zf-RING_2	PF13639.9	CL0229	27	70	28	70	2	44	34.76	1.8e-08	8.9e-12	Ring finger domain
zf-B_box	PF00643.27	-	102	143	103	143	2	42	32.99	5.4e-08	2.8e-11	B-box zinc finger
zf-RING_5	PF14634.9	CL0229	28	71	29	71	2	44	28.83	9.4e-07	4.8e-10	zinc-RING finger domain
