Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
NAD2	PF18782.4	CL0109	10	189	10	187	1	177	245.52	3.8e-73	1.9e-76	Novel AID APOBEC clade 2
APOBEC2	PF18772.4	CL0109	12	190	12	190	1	174	244.41	7.0e-73	3.6e-76	APOBEC2
NAD1	PF18778.4	CL0109	10	189	11	188	2	173	219.78	2.8e-65	1.4e-68	Novel AID APOBEC clade 1
APOBEC_N	PF08210.14	CL0109	17	187	17	187	1	175	205.53	6.2e-61	3.2e-64	APOBEC-like N-terminal domain
SNAD4	PF18750.4	CL0109	40	159	48	159	10	116	144.39	1.6e-42	8.2e-46	Secreted Novel AID/APOBEC-like Deaminase 4
APOBEC3	PF18771.4	CL0109	28	169	31	168	4	134	125.73	1.4e-36	7.2e-40	APOBEC3
APOBEC_C	PF05240.17	CL0109	112	189	113	188	2	77	112.58	7.5e-33	3.8e-36	APOBEC-like C-terminal domain
APOBEC4_like	PF18774.4	CL0109	43	163	53	161	24	130	94.57	5.0e-27	2.5e-30	APOBEC4-like -AID/APOBEC-deaminase
APOBEC4	PF18775.4	CL0109	88	161	88	161	1	74	82.50	1.9e-23	9.8e-27	APOBEC4
APOBEC1	PF18769.4	CL0109	49	148	52	148	5	101	75.21	4.0e-21	2.0e-24	APOBEC1
