Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PDZ	PF00595.27	CL0466	728	812	730	811	3	81	63.16	2.4e-17	8.7e-21	PDZ domain
PDZ	PF00595.27	CL0466	863	947	868	946	8	81	67.81	8.6e-19	3.1e-22	PDZ domain
PDZ	PF00595.27	CL0466	1004	1090	1005	1089	2	81	67.46	1.1e-18	3.9e-22	PDZ domain
PDZ	PF00595.27	CL0466	1100	1189	1103	1188	4	81	53.30	2.9e-14	1.0e-17	PDZ domain
PDZ_6	PF17820.4	CL0466	759	813	759	813	1	54	44.37	1.3e-11	4.5e-15	PDZ domain
PDZ_6	PF17820.4	CL0466	893	948	893	944	1	50	36.20	4.5e-09	1.6e-12	PDZ domain
PDZ_6	PF17820.4	CL0466	1037	1091	1037	1080	1	41	38.14	1.1e-09	4.0e-13	PDZ domain
LRR_8	PF13855.9	CL0022	36	94	36	94	1	61	31.44	1.2e-07	4.4e-11	Leucine rich repeat
LRR_8	PF13855.9	CL0022	128	186	128	186	1	61	30.42	2.6e-07	9.3e-11	Leucine rich repeat
PDZ_2	PF13180.9	CL0466	736	822	737	815	2	73	28.83	1.3e-06	4.5e-10	PDZ domain
