Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
EGF	PF00008.30	CL0001	43	75	43	75	1	32	24.93	2.0e-05	1.4e-08	EGF-like domain
EGF	PF00008.30	CL0001	123	154	123	153	1	31	24.71	2.3e-05	1.6e-08	EGF-like domain
EGF	PF00008.30	CL0001	162	193	166	192	4	31	30.47	3.6e-07	2.6e-10	EGF-like domain
EGF	PF00008.30	CL0001	201	232	201	231	1	31	21.93	0.00017	1.2e-07	EGF-like domain
EGF	PF00008.30	CL0001	240	270	240	269	1	31	29.04	1.0e-06	7.3e-10	EGF-like domain
EGF	PF00008.30	CL0001	278	310	278	309	1	31	29.55	7.1e-07	5.0e-10	EGF-like domain
EGF	PF00008.30	CL0001	317	348	318	346	1	30	21.84	0.00018	1.3e-07	EGF-like domain
EGF	PF00008.30	CL0001	355	385	355	385	1	30	23.70	4.8e-05	3.4e-08	EGF-like domain
EGF	PF00008.30	CL0001	395	427	395	427	1	32	28.16	1.9e-06	1.4e-09	EGF-like domain
EGF	PF00008.30	CL0001	435	465	435	464	1	31	24.36	3.0e-05	2.1e-08	EGF-like domain
EGF	PF00008.30	CL0001	473	503	473	503	1	32	26.01	9.1e-06	6.5e-09	EGF-like domain
EGF	PF00008.30	CL0001	511	541	511	539	1	30	30.53	3.5e-07	2.5e-10	EGF-like domain
EGF	PF00008.30	CL0001	549	578	549	578	1	32	30.62	3.3e-07	2.3e-10	EGF-like domain
EGF	PF00008.30	CL0001	586	616	586	615	1	31	27.31	3.5e-06	2.5e-09	EGF-like domain
EGF	PF00008.30	CL0001	775	806	775	806	1	32	27.23	3.8e-06	2.7e-09	EGF-like domain
EGF	PF00008.30	CL0001	853	883	853	883	1	32	31.79	1.4e-07	1.0e-10	EGF-like domain
EGF	PF00008.30	CL0001	926	958	928	958	1	32	29.35	8.1e-07	5.8e-10	EGF-like domain
EGF	PF00008.30	CL0001	1004	1032	1004	1031	1	31	28.72	1.3e-06	9.1e-10	EGF-like domain
EGF	PF00008.30	CL0001	1051	1080	1055	1080	6	32	22.26	0.00013	9.6e-08	EGF-like domain
EGF	PF00008.30	CL0001	1088	1118	1088	1118	1	32	25.00	1.9e-05	1.3e-08	EGF-like domain
