Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
zf-RING_6	PF14835.9	CL0229	41	105	41	105	1	65	147.76	6.7e-44	2.7e-47	zf-RING of BARD1-type protein
Ank_2	PF12796.10	CL0465	432	524	432	521	1	80	73.67	1.5e-20	6.1e-24	Ankyrin repeats (3 copies)
Ank_4	PF13637.9	CL0465	428	481	430	481	3	55	49.35	5.2e-13	2.1e-16	Ankyrin repeats (many copies)
Ank_4	PF13637.9	CL0465	494	533	495	533	2	41	24.13	4.2e-05	1.7e-08	Ankyrin repeats (many copies)
Ank_5	PF13857.9	CL0465	419	468	425	468	13	56	30.44	3.6e-07	1.5e-10	Ankyrin repeats (many copies)
Ank_5	PF13857.9	CL0465	480	533	480	533	1	55	34.77	1.6e-08	6.5e-12	Ankyrin repeats (many copies)
Ank	PF00023.33	CL0465	427	459	428	458	2	32	16.91	0.0069	2.8e-06	Ankyrin repeat
Ank	PF00023.33	CL0465	460	491	461	486	2	27	22.57	0.00011	4.6e-08	Ankyrin repeat
Ank	PF00023.33	CL0465	494	525	495	524	3	32	25.79	1.1e-05	4.4e-09	Ankyrin repeat
Ank_3	PF13606.9	CL0465	427	456	428	456	2	31	18.85	0.0016	6.7e-07	Ankyrin repeat
Ank_3	PF13606.9	CL0465	460	489	461	488	2	30	25.27	1.3e-05	5.4e-09	Ankyrin repeat
