Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PK_Tyr_Ser-Thr	PF07714.20	CL0016	530	705	531	704	2	161	179.82	6.3e-53	3.2e-56	Protein tyrosine and serine/threonine kinase
Pkinase	PF00069.28	CL0016	530	704	532	699	3	151	102.58	2.5e-29	1.3e-32	Protein kinase domain
I-set	PF07679.19	CL0011	210	301	210	301	1	90	40.26	2.8e-10	1.4e-13	Immunoglobulin I-set domain
I-set	PF07679.19	CL0011	316	392	323	391	22	86	30.05	4.2e-07	2.2e-10	Immunoglobulin I-set domain
LRRCT_2	PF16920.8	-	163	208	163	208	1	45	69.19	2.5e-19	1.3e-22	Leucine rich repeat C-terminal motif
ig	PF00047.28	CL0011	214	299	216	298	3	86	56.61	2.4e-15	1.2e-18	Immunoglobulin domain
Ig_3	PF13927.9	CL0011	209	288	210	288	2	79	39.96	4.9e-10	2.5e-13	Immunoglobulin domain
LRR_8	PF13855.9	CL0022	103	162	104	160	2	59	49.99	2.0e-13	1.0e-16	Leucine rich repeat
Ig_2	PF13895.9	CL0011	209	301	210	301	2	79	28.61	1.4e-06	7.2e-10	Immunoglobulin domain
LRRNT	PF01462.21	-	31	58	31	56	1	25	26.91	2.8e-06	1.4e-09	Leucine rich repeat N-terminal domain
