Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
zf-C2H2_4	PF13894.9	CL0361	518	541	518	540	1	23	22.11	0.00019	6.8e-08	C2H2-type zinc finger
zf-C2H2	PF00096.29	CL0361	461	483	461	483	1	23	16.38	0.01	3.6e-06	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	491	512	492	512	3	23	16.78	0.0076	2.7e-06	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	518	540	518	540	1	23	21.43	0.00025	9.0e-08	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	546	568	546	568	1	23	16.67	0.0082	2.9e-06	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	574	596	574	596	1	23	21.34	0.00027	9.6e-08	Zinc finger, C2H2 type
BTB	PF00651.34	CL0033	24	126	25	124	2	109	90.13	1.1e-25	3.9e-29	BTB/POZ domain
zf-met	PF12874.10	CL0361	518	541	518	540	1	23	23.37	6.1e-05	2.2e-08	Zinc-finger of C2H2 type
zf-C2H2_6	PF13912.9	CL0361	460	485	460	483	1	24	28.30	1.4e-06	4.9e-10	C2H2-type zinc finger
zf-C2H2_6	PF13912.9	CL0361	517	542	518	540	2	24	26.27	5.9e-06	2.1e-09	C2H2-type zinc finger
