Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
AAA_6	PF12774.10	CL0023	1794	2120	1794	2120	1	327	516.58	2.4e-155	1.9e-158	Hydrolytic ATP binding site of dynein motor region
DHC_N1	PF08385.15	-	245	544	246	542	2	295	254.08	3.1e-75	2.4e-78	Dynein heavy chain, N-terminal region 1
DHC_N1	PF08385.15	-	544	758	545	758	355	562	176.06	1.3e-51	1.0e-54	Dynein heavy chain, N-terminal region 1
DHC_N2	PF08393.16	-	1254	1659	1256	1659	3	399	424.85	3.7e-127	2.8e-130	Dynein heavy chain, N-terminal region 2
AAA_8	PF12780.10	CL0023	2773	3032	2773	3032	1	259	331.81	2.6e-99	2.0e-102	P-loop containing dynein motor region D4
Dynein_C	PF18199.4	-	4170	4468	4171	4468	2	309	282.70	3.8e-84	2.9e-87	Dynein heavy chain C-terminal domain
AAA_9	PF12781.10	CL0023	3406	3627	3407	3627	2	222	284.83	3.2e-85	2.5e-88	ATP-binding dynein motor region
AAA_7	PF12775.10	CL0023	2416	2597	2418	2597	3	181	227.70	7.7e-68	5.9e-71	P-loop containing dynein motor region
MT	PF12777.10	-	3045	3382	3046	3380	2	342	176.67	7.1e-52	5.4e-55	Microtubule-binding stalk of dynein motor
AAA_lid_11	PF18198.4	CL0671	4017	4164	4017	4164	1	139	165.16	1.1e-48	8.4e-52	Dynein heavy chain AAA lid domain
Dynein_heavy	PF03028.18	CL0023	3873	3986	3874	3986	2	115	137.84	1.6e-40	1.2e-43	Dynein heavy chain region D6 P-loop domain
AAA_5	PF07728.17	CL0023	2108	2245	2110	2244	3	137	22.91	7.3e-05	5.6e-08	AAA domain (dynein-related subfamily)
AAA_5	PF07728.17	CL0023	2450	2589	2450	2589	1	138	28.38	1.5e-06	1.1e-09	AAA domain (dynein-related subfamily)
Dynein_AAA_lid	PF17852.4	-	2277	2411	2277	2410	1	129	74.78	7.1e-21	5.4e-24	Dynein heavy chain AAA lid domain
AAA_lid_1	PF17857.4	CL0671	2628	2731	2632	2722	5	94	61.35	9.2e-17	7.1e-20	AAA+ lid domain
