Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Ank_2	PF12796.10	CL0465	892	984	894	980	3	79	57.87	1.3e-15	5.2e-19	Ankyrin repeats (3 copies)
Ank_4	PF13637.9	CL0465	889	941	892	941	5	55	25.03	2.2e-05	8.9e-09	Ankyrin repeats (many copies)
Ank_4	PF13637.9	CL0465	931	974	931	971	11	52	34.41	2.5e-08	1.0e-11	Ankyrin repeats (many copies)
SH3_1	PF00018.31	CL0010	1025	1073	1026	1073	2	48	47.47	1.1e-12	4.5e-16	SH3 domain
Ank	PF00023.33	CL0465	920	952	921	951	2	32	25.39	1.4e-05	5.9e-09	Ankyrin repeat
Ank	PF00023.33	CL0465	953	985	953	980	1	28	19.71	0.0009	3.7e-07	Ankyrin repeat
Ank_3	PF13606.9	CL0465	920	949	920	949	1	31	24.51	2.3e-05	9.6e-09	Ankyrin repeat
Ank_3	PF13606.9	CL0465	953	981	953	979	1	28	18.24	0.0026	1.1e-06	Ankyrin repeat
SH3_9	PF14604.9	CL0010	1026	1076	1026	1075	1	47	40.96	1.5e-10	6.1e-14	Variant SH3 domain
SH3_2	PF07653.20	CL0010	1024	1078	1027	1076	5	54	34.24	1.7e-08	7.0e-12	Variant SH3 domain
Ank_5	PF13857.9	CL0465	909	961	913	959	8	54	30.09	4.6e-07	1.9e-10	Ankyrin repeats (many copies)
