Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Ank_2	PF12796.10	CL0465	184	277	190	277	8	83	34.60	2.3e-08	1.4e-11	Ankyrin repeats (3 copies)
Ank_2	PF12796.10	CL0465	284	377	286	377	2	83	41.99	1.1e-10	7.0e-14	Ankyrin repeats (3 copies)
Ank_2	PF12796.10	CL0465	318	409	318	398	1	71	38.74	1.2e-09	7.3e-13	Ankyrin repeats (3 copies)
Ank_4	PF13637.9	CL0465	314	367	318	367	5	55	23.74	5.6e-05	3.4e-08	Ankyrin repeats (many copies)
SAM_1	PF00536.33	CL0003	2096	2159	2097	2157	2	62	67.28	1.3e-18	8.1e-22	SAM domain (Sterile alpha motif)
SH3_2	PF07653.20	CL0010	559	611	561	611	4	57	47.77	1.0e-12	6.3e-16	Variant SH3 domain
Ank	PF00023.33	CL0465	346	378	347	378	2	33	19.04	0.0015	8.9e-07	Ankyrin repeat
SAM_2	PF07647.20	CL0003	2095	2157	2097	2155	3	62	41.50	1.2e-10	7.1e-14	SAM domain (Sterile alpha motif)
PDZ_6	PF17820.4	CL0466	701	754	703	746	3	44	36.42	3.9e-09	2.4e-12	PDZ domain
SH3_1	PF00018.31	CL0010	560	605	561	605	2	48	35.46	6.2e-09	3.8e-12	SH3 domain
PDZ	PF00595.27	CL0466	663	754	666	753	4	81	35.07	1.4e-08	8.7e-12	PDZ domain
