Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
NAD2	PF18782.4	CL0109	10	193	10	193	1	179	229.62	2.9e-68	1.6e-71	Novel AID APOBEC clade 2
NAD2	PF18782.4	CL0109	195	379	195	379	1	179	250.23	1.4e-74	7.7e-78	Novel AID APOBEC clade 2
APOBEC2	PF18772.4	CL0109	12	194	12	194	1	174	217.99	9.1e-65	5.1e-68	APOBEC2
APOBEC2	PF18772.4	CL0109	197	380	197	380	1	174	213.37	2.4e-63	1.3e-66	APOBEC2
NAD1	PF18778.4	CL0109	10	193	10	193	1	174	198.33	1.1e-58	6.0e-62	Novel AID APOBEC clade 1
NAD1	PF18778.4	CL0109	195	379	196	379	2	174	208.96	5.9e-62	3.3e-65	Novel AID APOBEC clade 1
APOBEC_N	PF08210.14	CL0109	17	187	17	179	1	163	146.84	6.6e-43	3.7e-46	APOBEC-like N-terminal domain
APOBEC_N	PF08210.14	CL0109	202	377	202	376	1	174	174.44	2.2e-51	1.2e-54	APOBEC-like N-terminal domain
SNAD4	PF18750.4	CL0109	39	163	54	163	12	116	131.88	1.2e-38	6.8e-42	Secreted Novel AID/APOBEC-like Deaminase 4
SNAD4	PF18750.4	CL0109	234	349	254	349	21	116	124.28	2.8e-36	1.5e-39	Secreted Novel AID/APOBEC-like Deaminase 4
APOBEC3	PF18771.4	CL0109	28	173	32	170	5	132	93.41	1.4e-26	7.6e-30	APOBEC3
APOBEC3	PF18771.4	CL0109	214	359	216	358	4	134	141.56	1.8e-41	1.0e-44	APOBEC3
APOBEC_C	PF05240.17	CL0109	112	193	112	193	1	78	97.46	3.9e-28	2.2e-31	APOBEC-like C-terminal domain
APOBEC_C	PF05240.17	CL0109	303	379	303	379	1	78	98.86	1.4e-28	8.1e-32	APOBEC-like C-terminal domain
APOBEC4	PF18775.4	CL0109	88	165	88	165	1	74	70.77	8.8e-20	4.9e-23	APOBEC4
APOBEC4	PF18775.4	CL0109	279	351	279	351	1	74	62.23	4.1e-17	2.3e-20	APOBEC4
APOBEC4_like	PF18774.4	CL0109	26	167	51	165	23	130	72.92	2.4e-20	1.4e-23	APOBEC4-like -AID/APOBEC-deaminase
APOBEC4_like	PF18774.4	CL0109	225	353	250	352	30	131	61.61	7.6e-17	4.3e-20	APOBEC4-like -AID/APOBEC-deaminase
APOBEC1	PF18769.4	CL0109	50	152	54	141	8	94	62.79	2.9e-17	1.6e-20	APOBEC1
APOBEC1	PF18769.4	CL0109	248	338	256	338	17	101	44.98	1.0e-11	5.8e-15	APOBEC1
AID	PF18767.4	CL0109	8	65	8	60	1	58	43.10	3.5e-11	1.9e-14	Activation induced deaminase
