UniProt,PFAM,Count
A0A024R2L1,DUF3337,1
A0A024R2L1,WD40,4
A0A024R6S1,DnaJ,1
A0A024R6S1,DnaJ_C,1
A0A024R6S1,DnaJ_CXXCXGXG,1
A0A024RDU9,TFIIF_beta,1
A0A024RDU9,TFIIF_beta_N,1
A0A0C4DFQ9,Cullin_binding,1
A0A0S2Z495,Arm,1
A0AV96,RRM_1,3
A0FGR8,C2,3
A0FGR8,SMP_LBD,1
A5YKK6,CNOT1_CAF1_bind,1
A5YKK6,CNOT1_HEAT,1
A5YKK6,CNOT1_TTP_bind,1
A5YKK6,DUF3819,1
A5YKK6,Not1,1
A6NFN3,Fox-1_C,1
A6NFN3,RRM_1,1
A6NHR9,HATPase_c_3,1
A6NHR9,SMC_hinge,1
B5ME19,PCI,1
B5ME19,eIF-3c_N,1
C9J4N6,Iso_dh,1
D3DSU3,DUF3694,1
D3DSU3,FHA,1
D3DSU3,KIF1B,1
D3DSU3,Kinesin,1
D3DSU3,Kinesin_assoc,1
D3DSU3,Microtub_bd,1
E5RGU4,JAB,1
E5RGU4,eIF3h_C,1
E5RIT6,KOW,1
E5RIT6,Ribosomal_L26,1
E7EMW7,E3_UbLigase_EDD,1
E7EMW7,HECT,1
E7EMW7,PABP,1
H0UI80,TH1,1
H0YE96,tRNA-synt_2,1
H0YJ40,RRM_1,1
H3BQJ5,CARD,1
H3BVG0,Nic96,1
H7BZF6,AAA,1
H7C4T5,zf-CCCH,1
H7C4T5,zf-CCCH_2,3
K7EKX9,PTB,1
K7ES31,CSN8_PSD8_EIF3K,1
O00267,KOW,1
O00267,Spt5-NGN,1
O00267,Spt5_N,1
O00268,TAF4,1
O00268,TAFH,1
O00429,Dynamin_M,1
O00429,Dynamin_N,1
O00429,GED,1
O00487,JAB,1
O00487,MitMem_reg,1
O00487,Prok-JAB,1
O14530,Thioredoxin,1
O14647,CDH1_2_SANT_HL1,1
O14647,Chromo,2
O14647,DUF4208,1
O14647,Helicase_C,1
O14647,ResIII,1
O14647,SNF2-rel_dom,1
O14776,FF,6
O14776,WW,2
O14787,HEAT,1
O14787,HEAT_EZ,1
O14787,IBN_N,1
O14828,SCAMP,1
O14879,TPR_12,1
O14879,TPR_6,1
O14879,TPR_7,1
O14879,TPR_8,4
O14925,Tim17,1
O15315,AAA_25,1
O15315,ATPase,1
O15315,DnaB_C,1
O15315,Rad51,1
O15354,7tm_1,1
O15438,ABC_membrane,2
O15438,ABC_tran,2
O15498,Longin,1
O15498,Synaptobrevin,1
O15523,DEAD,1
O15523,Helicase_C,1
O43251,Fox-1_C,1
O43251,RRM_1,1
O43290,HIND,1
O43290,SART-1,1
O43402,UPF0172,1
O43583,SUI1,1
O43707,CH,2
O43707,EFhand_Ca_insen,1
O43707,Spectrin,4
O43719,RRM_1,2
O43809,NUDIX_2,1
O43813,LANC_like,1
O43929,AAA,1
O43929,AAA_16,1
O43929,AAA_22,1
O43929,ORC4_C,1
O60296,HAP1_N,1
O60296,Milton,1
O60506,RRM_1,3
O60506,hnRNP_Q_AcD,1
O60524,NFACT-C,1
O60524,NFACT-R_1,1
O60524,NFACT_N,1
O60674,FERM_F1,1
O60674,FERM_F2,1
O60674,Jak1_Phl,1
O60674,PK_Tyr_Ser-Thr,2
O60674,Pkinase,2
O60674,SH2,1
O60678,MTS,1
O60678,Methyltransf_11,1
O60678,Methyltransf_25,1
O60678,Methyltransf_31,1
O60678,Methyltransf_9,1
O60678,PrmA,1
O60684,Arm,8
O60684,Arm_3,1
O60684,HEAT_2,1
O60684,HEAT_EZ,1
O60684,IBB,1
O60706,ABC_membrane,2
O60706,ABC_tran,2
O60763,Arm_vescicular,1
O60763,Uso1_p115_C,1
O60763,Uso1_p115_head,1
O75150,zf-C3HC4,1
O75390,Citrate_synt,1
O75449,AAA,1
O75449,AAA_lid_3,1
O75449,Vps4_C,1
O75616,AIG1,1
O75616,FeoB_N,1
O75616,MMR_HSR1,1
O75643,DEAD,2
O75643,Helicase_C,1
O75643,Helicase_PWI,1
O75643,ResIII,2
O75643,Sec63,2
O75821,RRM_1,1
O75821,eIF3g,1
O75943,Rad17,1
O75970,L27_2,1
O75970,MPDZ_u10,1
O75970,PDZ,13
O75970,PDZ_6,3
O76064,FHA,1
O76064,zf-C3HC4,1
O76064,zf-C3HC4_2,1
O76064,zf-C3HC4_3,1
O76064,zf-RING_2,1
O76064,zf-RING_UBOX,1
O94763,Prefoldin,1
O94763,Prefoldin_3,1
O95218,zf-RanBP,2
O95232,LUC7,1
O95433,AHSA1,1
O95433,Aha1_N,1
O95619,YEATS,1
O95619,pYEATS,1
O95817,BAG,1
O95817,WW,1
O95881,Thioredoxin,1
O95881,Thioredoxin_7,1
P00367,ELFV_dehydrog,1
P00367,ELFV_dehydrog_N,1
P02675,Fib_alpha,1
P02675,Fibrinogen_C,1
P04114,ApoB100_C,1
P04114,DUF1081,1
P04114,Vit_open_b-sht,1
P04114,Vitellogenin_N,1
P04792,HSP20,1
P05386,Ribosomal_60s,1
P05388,RL10P_insert,1
P05388,Ribosomal_60s,1
P05388,Ribosomal_L10,1
P05455,La,1
P05455,RRM_1,1
P05455,RRM_3,1
P06733,Enolase_C,1
P06733,Enolase_N,1
P06733,MR_MLE_C,1
P07196,Filament,1
P07196,Filament_head,1
P07237,Thioredoxin,2
P07237,Thioredoxin_2,1
P07237,Thioredoxin_6,1
P07737,Profilin,1
P08579,RRM_1,2
P08579,RRM_5,2
P08670,Filament,1
P08670,Filament_head,1
P09525,Annexin,4
P09543,AAA_33,1
P09543,CNPase,1
P09661,LRR_9,1
P10644,RIIa,1
P10644,cNMP_binding,2
P11309,Kdo,1
P11309,Kinase-like,1
P11309,PK_Tyr_Ser-Thr,1
P11309,Pkinase,1
P11908,Pribosyl_synth,1
P11908,Pribosyltran,1
P11908,Pribosyltran_N,1
P12270,TPR_MLP1_2,1
P12277,ATP-gua_Ptrans,1
P12277,ATP-gua_PtransN,1
P12956,Ku,1
P12956,Ku_C,1
