Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Ribosome Homo sapiens hsa03010	112/137	3.0855497270789557e-32	9.009805203070552e-30	0	0	9.324877443375737	676.5757438202222	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL10L;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18A;RPSA;MRPS18C;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL17;MRPL15;MRPL12;MRPL10;MRPL11;MRPL20;RPL41;MRPL27;MRPL28;RPL3L;MRPL22;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;MRPS15;MRPS16;RPLP1;MRPS12;RPLP0;MRPS10;MRPL36;MRPL34;MRPL35;MRPL32;RPS4X;RPL7A;MRPL1;RPLP2;MRPL9;RPL13A;MRPS2;RPS3A;MRPS7;MRPS6;MRPS5;MRPS9;RPL37A;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPL22L1;FAU;RPL26L1
KEGG_2016	Epstein-Barr virus infection Homo sapiens hsa05169	137/202	1.557316960196995e-24	2.139719614522557e-22	0	0	4.390998286871204	240.71047665771903	RB1;ATF2;GTF2B;RBPJ;ICAM1;PSMD8;PSMD6;PSMD7;TBK1;PSMD4;MYC;AKT2;PSMD2;AKT3;PSMD3;AKT1;PSMD1;EP300;PRKACA;SKP2;PRKACB;MAP3K7;NUP214;MAP2K3;MAP2K4;USP7;CSNK2A1;CSNK2A2;HLA-B;HLA-C;HLA-A;HLA-G;SND1;HLA-E;CSNK2B;TP53;PSMD12;PSMD11;PSMD14;PSMD13;PIK3R2;PIK3R1;IRAK1;RIPK1;MAP2K7;MAP2K6;LYN;HSPA8;CREBBP;JUN;POLR3GL;HSPA6;EIF2AK3;EIF2AK2;HSPA2;NFKB2;NFKBIA;SNW1;CDK2;MDM2;CDK1;TAB2;TAB1;MAP3K14;NFKBIB;YWHAE;GSK3B;CD40;CDKN1A;CDKN1B;YWHAB;TRADD;AKAP8L;HSPB2;HSPB1;PIK3CB;ITGAL;PIK3CG;IKBKB;XPO1;YWHAQ;CD38;IKBKG;YWHAG;JAK1;YWHAH;TBP;CHUK;DDX58;TRAF2;TYK2;TRAF1;YWHAZ;CCNA2;CCNA1;PIK3CA;IRF3;TRAF3;TRAF6;POLR1C;PTMA;CD44;HLA-DQB1;HDAC4;HDAC5;HDAC2;HDAC1;RELA;MAPK9;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;HSPA1L;IL10RB;STAT3;PSMC5;PSMC6;POLR3A;PSMC3;PSMC4;PSMC1;NEDD4;PSMC2;HLA-DPB1;POLR3F;VIM;HSPA1B;RAN;HSPA1A
KEGG_2016	Protein processing in endoplasmic reticulum Homo sapiens hsa04141	120/169	2.1983420697149558e-24	2.139719614522557e-22	0	0	5.094623124179774	277.5262259224771	TUSC3;UBE2D3;CAPN2;FBXO6;CAPN1;SEC62;SIL1;MAP3K5;SEC63;SKP1;PDIA3;FBXO2;DNAJB12;MOGS;UBE4B;PDIA6;RBX1;PDIA4;DDIT3;DNAJB11;ERP29;PLAA;PREB;ATF6;ATF4;VCP;SAR1A;RPN2;HSPA4L;RPN1;SEL1L;CUL1;HSPBP1;HSP90B1;HSPH1;BAG2;SSR1;MAP2K7;SEC31B;TXNDC5;SEC31A;EDEM3;HSPA8;HSPA5;WFS1;HSPA6;EIF2AK3;EIF2AK2;HSPA2;EIF2S1;NSFL1C;NPLOC4;DNAJC10;STT3A;HYOU1;STT3B;CALR;NFE2L2;TRAM1;HSP90AB1;PRKCSH;NGLY1;HERPUD1;SEC61A1;SEC61G;SEC61B;SEC13;HSP90AA1;SSR4;SSR2;SSR3;TRAF2;RAD23A;RAD23B;CKAP4;DDOST;DNAJC3;DNAJC1;DAD1;CANX;MAN1B1;CRYAB;SEC23A;ATF6B;DERL3;DERL1;DERL2;RRBP1;RNF5;DNAJB2;DNAJB1;ERLEC1;LMAN1;MAPK9;GANAB;OS9;LMAN2;UBQLN1;BAK1;UGGT2;SEC23B;UGGT1;UBQLN4;UBQLN2;BCAP31;SEC24A;HSPA1L;AMFR;SYVN1;UBE2G2;SVIP;DNAJA1;DNAJA2;BAX;STUB1;P4HB;SEC24D;SEC24C;HSPA1B;HSPA1A
KEGG_2016	RNA transport Homo sapiens hsa03013	115/172	4.7544806543812155e-20	3.470770877698287e-18	0	0	4.191343250256637	186.4838190131464	EIF4A2;POP5;EIF4A1;POP7;NUP107;NUP188;POP1;GEMIN2;FMR1;POP4;RPP30;PHAX;CASC3;PNN;RPP38;NUP214;EIF1AY;NUP210;EIF1AX;THOC1;THOC3;TRNT1;THOC5;SRRM1;THOC6;NUP93;EEF1A1;DDX39B;CLNS1A;EEF1A2;RPP21;GEMIN4;GEMIN5;GEMIN6;NUP98;GEMIN7;GEMIN8;KPNB1;NUP205;POM121;SEH1L;AAAS;NUP160;FXR1;FXR2;NUP85;TPR;SMN2;NUP88;SMN1;EIF2B4;UBE2I;NUP155;ALYREF;RPP40;NUP153;EIF2S2;EIF2S1;EIF1;EIF2S3;RNPS1;EIF4G3;EIF4G2;EIF4G1;XPO1;SUMO1;SUMO3;NUP62;XPO5;EIF3CL;EIF2B1;UPF2;NDC1;EIF5B;UPF1;PRMT5;SEC13;NUP133;ELAC2;PABPC4;PABPC5;SENP2;RANGAP1;NUP50;PABPC3;STRAP;NUP54;PABPC1;EIF4E2;DDX20;RGPD5;RGPD8;NXF1;TGS1;SAP18;PABPC1L2A;RAE1;EIF4E;EIF4B;PAIP1;RANBP2;XPOT;EIF3I;EIF3J;EIF3G;NUP35;EIF3H;ACIN1;EIF3E;EIF3F;EIF3C;EIF3D;RAN;EIF3A;EIF3B
KEGG_2016	Spliceosome Homo sapiens hsa03040	95/134	1.612115203508105e-19	9.414752788487329e-18	0	0	5.0515756356697095	218.5896070073969	TCERG1;RBM25;DDX46;DDX42;HNRNPU;PRPF19;EFTUD2;SART1;SNRPD2;SNRPD1;SNRNP70;DHX15;SNRPD3;BCAS2;RBM17;AQR;THOC1;PRPF40B;THOC3;PLRG1;WBP11;RBMXL3;PRPF4;RBMXL2;RBMXL1;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;PPIE;SRSF4;PPIH;SNRPE;SNRPA1;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SLU7;SNRPA;SNRPB;SRSF9;RBM22;SF3B4;SF3B5;DDX5;SF3B2;SF3B3;DHX8;SRSF1;DDX23;PRPF8;U2AF1L4;PUF60;U2AF2;PCBP1;TRA2A;DHX38;SNRPB2;HNRNPA1;SF3B1;SRSF10;SF3A3;HSPA8;SF3A1;HNRNPA3;PRPF38A;SF3A2;HSPA1L;ALYREF;HSPA6;CDC5L;CWC15;HSPA2;LSM4;LSM3;U2SURP;CHERP;LSM2;HNRNPM;XAB2;SNRNP40;HNRNPK;SNW1;PHF5A;ACIN1;PRPF31;HNRNPC;HNRNPA1L2;RBMX;HSPA1B;HSPA1A
KEGG_2016	Cell cycle Homo sapiens hsa04110	89/124	6.057386356653844e-19	2.947928026904871e-17	0	0	5.270070445862686	221.06806317788	RB1;YWHAE;GSK3B;CDKN1A;CDKN1B;MCM7;CCNH;YWHAB;SMC3;CDC20;CCND3;CDC23;CCND1;YWHAQ;CHEK2;MYC;CDC27;EP300;SKP2;YWHAG;SKP1;YWHAH;SMC1A;YWHAZ;CDC25B;RBX1;CCNA2;RBL2;CCNA1;TFDP1;RBL1;CCNE2;TFDP2;CCNE1;MCM3;MCM4;ANAPC5;MCM5;MCM6;TP53;MAD1L1;ANAPC1;ANAPC2;MCM2;HDAC2;PCNA;PRKDC;HDAC1;CUL1;ANAPC10;CCNB3;CCNB2;ORC4;CCNB1;FZR1;CDC45;ORC3;ORC2;ABL1;E2F1;E2F2;SFN;E2F3;E2F4;BUB3;E2F5;BUB1;SMAD2;ZBTB17;TGFB2;CREBBP;SMAD4;TGFB1;SMAD3;CDKN2C;CDKN2A;PLK1;CDC7;MAD2L2;STAG2;CDK6;CDK4;CDC16;CDK2;MDM2;CDK1;ATM;ATR;MAD2L1
KEGG_2016	Hepatitis B Homo sapiens hsa05161	96/146	3.04307376020138e-16	1.2693964828268616e-14	0	0	3.979052924791086	142.16556607402987	RB1;ATF2;IFNA4;CDKN1A;DDX3X;IFNA6;CDKN1B;YWHAB;IFNA2;PIK3CB;TNF;PIK3CG;IFIH1;IKBKB;TBK1;CASP8;CCND1;YWHAQ;CASP10;CREB3L1;MYC;AKT2;AKT3;AKT1;EP300;IKBKG;HRAS;IKBKE;JAK1;MAP2K4;MAP2K1;IFNA14;MAP2K2;ATP6AP1;APAF1;CHUK;DDX58;IFNA17;FOS;YWHAZ;TGFBR1;CCNA2;DDB1;CREB3;CCNA1;CREB1;CCNE2;PIK3CA;IRF3;CCNE1;VDAC3;IRF7;RAF1;TP53;ATF4;IFNA10;TLR2;PCNA;ATF6B;SRC;PIK3R2;PIK3R1;RELA;MAPK9;NRAS;E2F1;STAT4;E2F2;PTK2B;MAPK1;STAT6;E2F3;FADD;MAPK3;TGFB2;CREBBP;SMAD4;JUN;TGFB1;SMAD3;BAD;STAT1;STAT2;STAT3;NFATC4;NFKBIA;MAVS;CDK6;CDK4;CDK2;CYCS;FAS;BAX;GRB2;MYD88;LAMTOR5
KEGG_2016	Proteasome Homo sapiens hsa03050	40/44	1.1515029741704184e-15	4.2029858557220274e-14	0	0	20.61675360540043	709.1690780911857	PSMD12;PSMD11;PSMD14;PSMD13;POMP;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMB4;PSMD6;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;PSMD3;PSMD1;PSMF1;PSMB8;PSMB9;PSMA5;PSMA6;PSMC5;PSMA3;PSMC6;PSMA4;PSMC3;PSMA1;PSMC4;PSMA2;PSME3;PSMC1;PSMC2;PSME4;PSME1;PSME2
KEGG_2016	Viral carcinogenesis Homo sapiens hsa05203	122/205	2.9058088516349367e-15	9.42773538530446e-14	0	0	3.050982051262851	102.12266834096692	RB1;ATF2;GTF2B;UBE3A;RBPJ;CDC20;CCND3;CCND1;CREB3L1;EP300;PRKACA;SKP2;PRKACB;USP7;ACTN3;ACTN2;ACTN1;HLA-B;HLA-C;SCRIB;ACTN4;HLA-A;HLA-G;SND1;HLA-E;CCNE2;CCNE1;MAPKAPK2;VDAC3;ATP6V0D1;IL6ST;TP53;MAD1L1;ATF4;PXN;UBR4;PIK3R2;PIK3R1;C3;PMAIP1;LYN;CREBBP;JUN;EIF2AK2;NFKB2;NFKBIA;DLG1;HNRNPK;SNW1;CDK6;CDK4;CDK2;REL;MDM2;CDK1;GRB2;YWHAE;CDKN1A;CDKN1B;DDX3X;YWHAB;TRADD;CHD4;PIK3CB;PIK3CG;POLB;CASP8;YWHAQ;RAC1;IKBKG;HRAS;YWHAG;JAK1;YWHAH;TBP;TRAF2;TRAF1;YWHAZ;RHOA;DDB1;CCNA2;RBL2;KAT2B;CREB3;CCNA1;KAT2A;CREB1;RBL1;PKM;PIK3CA;IRF3;TRAF3;IRF7;HDAC4;VAC14;HDAC5;SP100;HDAC2;HDAC3;ATF6B;SRC;HDAC1;RELA;HDAC6;HDAC7;NRAS;MAPK1;BAK1;MAPK3;RANBP1;GSN;CDKN2A;BAD;STAT3;GTF2H1;GTF2H2;GTF2H3;GTF2H4;PSMC1;DNAJA3;BAX;LTBR
KEGG_2016	Chronic myeloid leukemia Homo sapiens hsa05220	56/73	1.6307060673685242e-14	4.761661716716091e-13	0	0	6.801527131923209	215.92929396224292	RB1;CDKN1A;CDKN1B;ARAF;PIK3CB;PIK3CG;CRKL;IKBKB;MECOM;CCND1;MYC;AKT2;AKT3;AKT1;IKBKG;HRAS;MAP2K1;MAP2K2;CHUK;TGFBR1;RUNX1;TGFBR2;BCR;PIK3CA;RAF1;TP53;CRK;HDAC2;CTBP2;SHC1;HDAC1;CTBP1;PIK3R2;PIK3R1;CBL;RELA;NRAS;E2F1;ABL1;E2F2;MAPK1;E2F3;MAPK3;TGFB2;SMAD4;TGFB1;SMAD3;BAD;CDKN2A;PTPN11;NFKBIA;CDK6;CDK4;MDM2;GRB2;BCL2L1
KEGG_2016	Apoptosis Homo sapiens hsa04210	89/140	7.37563014277923e-14	1.9578945469923043e-12	0	0	3.612398800917801	109.23175092255522	TRADD;PIK3CB;TNF;ACTB;LMNB2;PIK3CG;ACTG1;LMNB1;BBC3;IKBKB;TUBA1C;TUBA1B;CASP8;TUBA1A;AIFM1;CASP10;CTSL;AKT2;AKT3;CAPN2;AKT1;CAPN1;IKBKG;CTSD;HRAS;SPTAN1;CTSC;MAP3K5;CTSB;DAXX;MAP2K1;DFFA;MAP2K2;PARP4;APAF1;CHUK;PARP1;PARP2;TRAF2;TRAF1;FOS;TUBA4A;TNFRSF1A;PIK3CA;DDIT3;RAF1;TP53;ATF4;TUBAL3;BCL2A1;DIABLO;HTRA2;CSF2RB;PIK3R2;PIK3R1;RELA;TUBA3E;MAPK9;NRAS;TUBA3D;BCL2L11;TUBA3C;LMNA;PMAIP1;MAPK1;RIPK1;FADD;BAK1;BID;MCL1;MAPK3;NTRK1;JUN;BAD;EIF2AK3;TNFRSF10B;GZMB;TNFRSF10A;PTPN13;EIF2S1;TNFRSF10D;NFKBIA;CYCS;FAS;BAX;ATM;MAP3K14;TUBA8;BCL2L1
KEGG_2016	Influenza A Homo sapiens hsa05164	103/175	1.0913767386400969e-12	2.6556833973575687e-11	0	0	2.963056201050004	81.61317893661833	ATF2;PRSS1;TNF;ACTB;ACTG1;ICAM1;PYCARD;TBK1;AKT2;AKT3;AKT1;EP300;TRIM25;PRSS3;KPNA2;PRSS2;KPNA1;MAP2K3;MAP2K4;MAP2K1;IFNA14;MAP2K2;RSAD2;IFNA17;DDX39B;HNRNPUL1;VDAC1;NUP98;RAF1;IFNA10;NLRX1;PIK3R2;PIK3R1;MAP2K7;MAP2K6;IVNS1ABP;CPSF4;HSPA8;CREBBP;JUN;HSPA6;EIF2AK3;TNFRSF10B;EIF2AK2;TNFRSF10A;HSPA2;TMPRSS13;EIF2S1;TNFRSF10D;NFKBIA;MAVS;CYCS;MYD88;NFKBIB;GSK3B;IFNA4;IFNA6;IFNA2;ADAR;PIK3CB;PIK3CG;IFIH1;IKBKB;XPO1;CASP1;JAK2;IKBKE;JAK1;DDX58;IFNGR1;IL18;TYK2;TNFRSF1A;DNAJC3;OAS1;PIK3CA;IRF3;OAS3;IRF7;TLR7;HLA-DQB1;SLC25A6;RNASEL;FURIN;PLG;RELA;NXF1;DNAJB1;MAPK9;HLA-DMB;PABPN1;MAPK1;RAE1;MAPK3;HSPA1L;STAT1;STAT2;MX1;PML;HLA-DPB1;FAS;HSPA1B;HSPA1A
KEGG_2016	Pathways in cancer Homo sapiens hsa05200	197/397	1.8163531576139613e-12	4.079808630948282e-11	0	0	2.05052193051407	55.43420025732424	RB1;ARAF;FZD10;CRKL;TFG;MYC;AKT2;AKT3;AKT1;PRKACA;SKP2;PRKACB;DAPK1;RUNX1;BCR;ADCY9;TP53;CTBP2;CTBP1;LPAR1;LPAR2;PIK3R2;PIK3R1;HIF1A;FADD;CREBBP;JUN;FZD2;JUP;FZD7;FZD6;FN1;GRB2;CDKN1A;CDKN1B;GLI1;IKBKB;MECOM;RAC2;RAC3;IKBKG;RAC1;HRAS;JAK1;NCOA4;FOS;RHOA;RARA;RARB;PPARG;FH;GSTP1;WNT8A;GNAI3;CXCR4;ADCY2;ADCY1;PTGS2;ADCY6;EGFR;GNAI1;RELA;GNAI2;NRAS;RXRA;CTNNA1;CTNNA3;CTNNA2;BID;EGLN1;ARNT2;STAT1;CDKN2A;STAT3;VEGFB;MLH1;CTNNB1;FAS;FGF7;CCND1;EP300;PDGFRB;MAP2K1;MAP2K2;TPM3;F2R;WNT5A;PIAS2;RBX1;MSH6;MSH2;COL4A2;CCNE2;MSH3;CCNE1;COL4A4;RAF1;CSF1R;MAX;CUL2;RASGRP2;PLD1;STK4;HSP90B1;RASGRP3;STK36;TPR;DVL1;ABL1;DVL2;DVL3;SMAD2;TGFB2;SMAD4;TGFB1;SMAD3;ZBTB16;NFKB2;NFKBIA;CDK6;CDK4;GNB2;GNAQ;CDK2;GNB1;MDM2;GNAS;GNB3;CYCS;FGF12;BCL2L1;FGFR1;FGF10;ITGB1;GSK3B;HSP90AB1;LAMC3;SLC2A1;LAMC2;PIK3CB;LAMC1;PIK3CG;CASP8;BDKRB2;HSP90AA1;ARHGEF12;CHUK;ITGA3;AXIN1;ARNT;TRAF2;TRAF1;TGFBR1;TGFBR2;CCNA1;TRAF4;PIK3CA;TRAF3;TRAF6;ITGA6;MET;CRK;CEBPA;LAMA5;HDAC2;RALA;ROCK1;LAMA2;ROCK2;HDAC1;LAMA1;LAMA3;CBL;GNA13;MAPK9;GNG2;GNG5;ERBB2;GNA12;E2F1;E2F2;MAPK1;E2F3;VHL;MAPK3;NTRK1;TCF7L2;TCF7L1;LAMB3;BAD;LAMB2;LAMB1;MTOR;PML;RAD51;APC;BAX
KEGG_2016	Herpes simplex infection Homo sapiens hsa05168	106/185	5.358405771750081e-12	1.1176103466793025e-10	0	0	2.778998956265156	72.12156638973893	IFIT1;TNF;PPP1CB;PPP1CC;TBK1;EP300;SKP2;MAP3K7;GTF2I;SKP1;USP7;DAXX;IFNA14;CSNK2A1;IFNA17;CSNK2A2;TAP2;HLA-B;TAP1;HLA-C;HLA-A;HCFC2;HLA-G;HLA-E;CSNK2B;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;TP53;SRSF9;IFNA10;CUL1;CFP;C3;C5;FADD;CREBBP;JUN;ALYREF;EIF2AK3;EIF2AK2;EIF2S1;SRPK1;NFKBIA;MAVS;HNRNPK;CDK2;CDK1;CYCS;TAB2;TAB1;MYD88;NFKBIB;IFNA4;IFNA6;IFNA2;IFIH1;IKBKB;CASP8;C1QBP;IKBKG;JAK2;IKBKE;JAK1;TBP;CHUK;DDX58;IFNGR1;TRAF2;TRAF1;TYK2;FOS;TNFRSF1A;TAF6L;OAS1;IRF3;TRAF3;EEF1D;TRAF6;OAS3;IRF7;TLR2;HLA-DQB1;SP100;RNASEL;SRSF1;RELA;ARNTL;NXF1;MAPK9;HLA-DMB;POLR2A;CD74;STAT1;MCRS1;STAT2;PTPN11;PML;PPP1CA;HLA-DPB1;FAS;TAF6;TAF4
KEGG_2016	HTLV-I infection Homo sapiens hsa05166	136/258	2.4905550275344907e-11	4.848280453600476e-10	0	0	2.312134006565546	56.45290305994542	RB1;ATF1;ATF2;CRTC2;CRTC3;TRRAP;CRTC1;FZD10;TNF;ICAM1;CDC20;CCND3;CDC23;KAT5;CCND1;CHEK2;MYC;AKT2;AKT3;CDC27;AKT1;EP300;PRKACA;PRKACB;PDGFRB;MAP2K4;WNT5A;HLA-B;HLA-C;HLA-A;HLA-G;HLA-E;ADCY9;VDAC3;VDAC2;VDAC1;ANAPC5;TP53;ATF3;ANAPC1;ATF4;ANAPC2;PIK3R2;PIK3R1;ANAPC10;CCNB2;RRAS;DVL1;DVL2;DVL3;SMAD2;CREBBP;JUN;TGFB2;SMAD4;FZD2;TGFB1;SMAD3;FZD7;FZD6;NFATC4;NFKB2;NFKBIA;DLG1;CDK4;CDC16;ATM;CALR;TCF3;MAP3K14;ATR;BCL2L1;NRP1;GSK3B;CD40;CDKN1A;ITGB2;SLC2A1;PIK3CB;ITGAL;PIK3CG;IKBKB;POLB;PPP3CA;PPP3CC;XPO1;IKBKG;HRAS;POLE;JAK1;TBP;CHUK;RRAS2;FOS;TGFBR1;TNFRSF1A;TGFBR2;KAT2B;KAT2A;CREB1;PIK3CA;LCK;CANX;SLC25A5;SLC25A4;HLA-DQB1;SLC25A6;VAC14;PCNA;WNT8A;GPS2;ADCY2;ADCY1;ADCY6;RELA;POLD3;NRAS;HLA-DMB;POLD1;E2F1;E2F2;E2F3;BUB3;RANBP1;MAP3K3;CDKN2C;CDKN2A;POLE4;APC;POLE3;HLA-DPB1;CTNNB1;BAX;LTBR;RAN;MAD2L1
KEGG_2016	Pancreatic cancer Homo sapiens hsa05212	48/66	3.4311755667359496e-11	6.114551145563025e-10	0	0	5.498822324628776	132.49705527719132	RB1;RALA;ARAF;PIK3R2;PIK3CB;PIK3R1;PLD1;PIK3CG;RELA;EGFR;IKBKB;MAPK9;CCND1;AKT2;AKT3;ERBB2;RAC2;E2F1;AKT1;RAC3;E2F2;MAPK1;E2F3;RAC1;IKBKG;JAK1;MAPK3;SMAD2;MAP2K1;TGFB2;SMAD4;TGFB1;SMAD3;CHUK;BAD;STAT1;CDKN2A;STAT3;TGFBR1;TGFBR2;CDK6;RAD51;PIK3CA;CDK4;RAF1;TP53;ARHGEF6;BCL2L1
KEGG_2016	Endocytosis Homo sapiens hsa04144	136/259	3.559841420362036e-11	6.114551145563025e-10	0	0	2.2931639967287247	55.170590566195024	VPS29;SH3GL3;TFRC;KIF5B;VPS35;VPS36;AP2M1;SH3GLB2;USP8;F2R;HLA-B;HLA-C;HLA-A;HLA-G;HLA-E;RNF41;RUFY1;ACAP2;ZFYVE16;RAB31;BIN1;HGS;PARD3;RAB35;STAM2;VPS28;CSF1R;RAB5B;RAB5C;TSG101;NEDD4L;VPS26A;VPS26B;AGAP3;PLD1;SNX3;SNX4;SNX1;SNX2;CLTCL1;RAB11FIP5;SNX6;SMAD2;HSPA8;TGFB2;TGFB1;SMAD3;CAV3;SMURF2;IQSEC1;CAV2;CAV1;IQSEC3;HSPA6;ARPC4;SNF8;HSPA2;IGF2R;EHD1;EHD2;EHD3;EHD4;ARPC2;ARPC3;CHMP2A;MDM2;FGFR4;RAB5A;ARF3;ARF1;SH3KBP1;ARPC1B;CLTC;CLTB;SNX12;CLTA;AP2A1;WASL;ARRB2;AP2A2;EEA1;CAPZB;HRAS;RAB8A;PDCD6IP;ARAP3;VPS37A;VPS37B;ARAP1;RHOA;DNM1;TGFBR1;EPN1;DNM2;TGFBR2;RABEP1;TRAF6;MET;ARF5;RAB7A;ARF6;CHMP5;SRC;VPS4B;VPS4A;ASAP3;CXCR4;SNX32;CBL;EGFR;PARD6B;CYTH4;ERBB3;ERBB4;AP2S1;LDLR;ARFGEF1;NTRK1;ARFGEF2;HSPA1L;GBF1;WWP1;AP2B1;RAB11A;PML;RAB11B;RAB10;ITCH;NEDD4;CAPZA1;CAPZA2;VPS45;SMAP1;HSPA1B;SPG21;HSPA1A
KEGG_2016	Pathogenic Escherichia coli infection Homo sapiens hsa05130	42/55	4.165635103711563e-11	6.757585834909869e-10	0	0	6.658379373848987	159.1457025335758	ITGB1;ROCK1;TUBAL3;ROCK2;ARPC1B;WASL;CLDN1;ACTB;ACTG1;TUBB8;TUBA1C;TUBA3E;TUBB6;TUBA1B;TUBA3D;TUBA1A;TUBA3C;YWHAQ;TUBB3;TUBB1;ABL1;FYN;CD14;NCK1;TUBB;ARPC4;TUBB4B;YWHAZ;TUBB4A;RHOA;TUBA4A;TUBB2B;TUBB2A;KRT18;CTTN;ARPC2;ARPC3;NCL;CTNNB1;ARHGEF2;EZR;TUBA8
KEGG_2016	Phagosome Homo sapiens hsa04145	89/154	1.4193328302334586e-10	2.1812904548851047e-09	0	0	2.831380429741846	64.20343129968724	ITGB1;SCARB1;NCF1;CLEC4M;TFRC;ITGB3;ITGB2;TCIRG1;ACTB;FCAR;ACTG1;TUBB8;EEA1;MRC2;TUBA1C;SEC61A1;TUBB6;TUBA1B;TUBA1A;LAMP1;TUBB3;CTSL;SEC61G;TUBB1;LAMP2;SEC61B;NOS1;RAC1;MBL2;DYNC2H1;ATP6V1G1;ATP6AP1;TUBB;STX7;SFTPD;TAP2;HLA-B;TAP1;HLA-C;HLA-A;HLA-G;TUBA4A;HLA-E;DYNC1LI1;DYNC1LI2;TUBB2B;TUBB2A;HGS;CANX;ATP6V1B2;PIK3C3;ATP6V0D1;SEC22B;ATP6V0C;VAMP3;ATP6V1B1;TLR2;HLA-DQB1;RAB7A;ATP6V1A;STX12;DYNC1I2;COLEC11;RAB5B;RAB5C;TUBAL3;STX18;THBS1;C3;TUBA3E;TUBA3D;TUBA3C;HLA-DMB;CLEC7A;ATP6V0A2;ATP6V1H;CD14;DYNC1I1;ATP6V0A1;DYNC1H1;TUBB4B;TUBB4A;MARCO;CD209;HLA-DPB1;CALR;RAB5A;NOX1;TUBA8
