Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
zf-C2H2_4	PF13894.9	CL0361	496	518	497	518	3	24	21.23	0.00036	1.5e-07	C2H2-type zinc finger
zf-C2H2	PF00096.29	CL0361	356	377	357	377	3	23	18.47	0.0022	9.0e-07	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	383	405	383	405	1	23	15.89	0.015	5.9e-06	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	413	436	413	436	1	23	20.53	0.00049	2.0e-07	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	496	518	497	517	3	23	18.95	0.0016	6.3e-07	Zinc finger, C2H2 type
zf-C2H2	PF00096.29	CL0361	605	628	605	628	1	23	22.15	0.00015	6.1e-08	Zinc finger, C2H2 type
BTB	PF00651.34	CL0033	30	160	30	159	1	110	89.56	1.7e-25	6.8e-29	BTB/POZ domain
zf-C2H2_assoc3	PF16637.8	-	535	604	535	604	1	85	82.98	1.6e-23	6.6e-27	Putative zinc-finger between two C2H2 zinc-fingers on Patz
zf-met	PF12874.10	CL0361	496	517	496	515	2	21	14.29	0.044	1.8e-05	Zinc-finger of C2H2 type
zf-C2H2_6	PF13912.9	CL0361	413	439	413	436	2	25	17.60	0.0031	1.3e-06	C2H2-type zinc finger
zf-C2H2_6	PF13912.9	CL0361	442	467	442	466	2	26	24.79	1.7e-05	7.0e-09	C2H2-type zinc finger
