Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
Kelch_1	PF01344.28	CL0186	318	359	324	358	10	45	26.51	3.8e-06	1.3e-09	Kelch motif
Kelch_1	PF01344.28	CL0186	361	410	361	410	1	46	49.08	3.4e-13	1.2e-16	Kelch motif
Kelch_1	PF01344.28	CL0186	412	457	412	456	1	45	44.65	8.2e-12	2.9e-15	Kelch motif
Kelch_1	PF01344.28	CL0186	459	504	459	504	1	46	47.53	1.0e-12	3.7e-16	Kelch motif
Kelch_1	PF01344.28	CL0186	506	551	507	550	2	45	61.61	4.1e-17	1.5e-20	Kelch motif
Kelch_1	PF01344.28	CL0186	553	598	553	597	1	45	59.46	1.9e-16	6.9e-20	Kelch motif
Kelch_6	PF13964.9	CL0186	361	413	361	413	1	50	36.06	5.7e-09	2.0e-12	Kelch motif
Kelch_6	PF13964.9	CL0186	506	554	507	554	2	50	34.53	1.7e-08	6.2e-12	Kelch motif
Kelch_6	PF13964.9	CL0186	553	601	554	601	2	50	42.63	4.9e-11	1.7e-14	Kelch motif
BACK	PF07707.18	CL0033	184	286	184	284	1	101	114.34	2.5e-33	8.9e-37	BTB And C-terminal Kelch
Kelch_3	PF13415.9	CL0186	563	608	564	606	2	46	31.11	2.2e-07	7.8e-11	Galactose oxidase, central domain
BTB	PF00651.34	CL0033	67	179	67	178	1	110	104.04	5.3e-30	1.9e-33	BTB/POZ domain
Kelch_2	PF07646.18	CL0186	361	410	361	409	1	48	21.89	0.00014	5.0e-08	Kelch motif
Kelch_2	PF07646.18	CL0186	553	598	554	597	2	48	30.90	2.0e-07	7.1e-11	Kelch motif
Kelch_4	PF13418.9	CL0186	553	601	559	594	7	44	20.09	0.0005	1.8e-07	Galactose oxidase, central domain
