Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
NAD2	PF18782.4	CL0109	10	201	10	201	1	179	233.25	2.2e-69	1.1e-72	Novel AID APOBEC clade 2
NAD2	PF18782.4	CL0109	206	385	207	385	2	179	241.52	6.5e-72	3.3e-75	Novel AID APOBEC clade 2
APOBEC2	PF18772.4	CL0109	12	202	12	202	1	174	209.27	4.4e-62	2.2e-65	APOBEC2
APOBEC2	PF18772.4	CL0109	208	386	208	386	1	174	242.85	2.1e-72	1.1e-75	APOBEC2
NAD1	PF18778.4	CL0109	10	201	10	201	1	174	182.05	1.1e-53	5.5e-57	Novel AID APOBEC clade 1
NAD1	PF18778.4	CL0109	206	385	207	385	2	174	199.72	4.0e-59	2.0e-62	Novel AID APOBEC clade 1
APOBEC_N	PF08210.14	CL0109	17	199	18	199	2	175	144.91	2.6e-42	1.3e-45	APOBEC-like N-terminal domain
APOBEC_N	PF08210.14	CL0109	213	383	213	383	1	175	187.88	1.6e-55	8.4e-59	APOBEC-like N-terminal domain
SNAD4	PF18750.4	CL0109	59	171	73	171	18	116	123.48	4.9e-36	2.5e-39	Secreted Novel AID/APOBEC-like Deaminase 4
SNAD4	PF18750.4	CL0109	235	355	236	355	2	116	138.77	8.9e-41	4.5e-44	Secreted Novel AID/APOBEC-like Deaminase 4
APOBEC_C	PF05240.17	CL0109	124	201	124	201	1	78	95.03	2.3e-27	1.2e-30	APOBEC-like C-terminal domain
APOBEC_C	PF05240.17	CL0109	308	385	309	385	2	78	107.00	4.1e-31	2.1e-34	APOBEC-like C-terminal domain
APOBEC3	PF18771.4	CL0109	28	181	32	180	5	134	85.61	3.5e-24	1.8e-27	APOBEC3
APOBEC3	PF18771.4	CL0109	225	365	228	364	5	134	112.31	2.0e-32	1.0e-35	APOBEC3
APOBEC4_like	PF18774.4	CL0109	61	175	71	173	30	130	75.63	3.6e-21	1.8e-24	APOBEC4-like -AID/APOBEC-deaminase
APOBEC4_like	PF18774.4	CL0109	226	359	249	357	24	130	87.34	8.5e-25	4.3e-28	APOBEC4-like -AID/APOBEC-deaminase
APOBEC1	PF18769.4	CL0109	62	160	75	160	15	101	65.57	4.0e-18	2.0e-21	APOBEC1
APOBEC1	PF18769.4	CL0109	245	344	247	344	4	101	69.60	2.2e-19	1.1e-22	APOBEC1
APOBEC4	PF18775.4	CL0109	100	173	100	173	1	74	61.48	7.0e-17	3.6e-20	APOBEC4
APOBEC4	PF18775.4	CL0109	284	357	284	357	1	74	67.20	1.2e-18	5.9e-22	APOBEC4
