Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
TPR_19	PF14559.9	CL0020	139	239	177	228	5	55	26.10	9.6e-06	6.3e-09	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	163	196	164	195	2	33	16.07	0.01	6.9e-06	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	198	231	199	231	2	34	12.67	0.13	8.5e-05	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	344	374	345	374	5	34	19.59	0.00077	5.1e-07	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	451	484	452	482	2	32	13.73	0.059	3.9e-05	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	531	564	532	564	2	34	13.66	0.062	4.1e-05	Tetratricopeptide repeat
TPR_8	PF13181.9	CL0020	681	709	682	708	2	28	17.85	0.0028	1.8e-06	Tetratricopeptide repeat
TPR_16	PF13432.9	CL0020	202	269	204	269	3	68	18.03	0.0034	2.3e-06	Tetratricopeptide repeat
TPR_16	PF13432.9	CL0020	501	565	501	565	1	68	27.42	4.0e-06	2.6e-09	Tetratricopeptide repeat
TPR_6	PF13174.9	CL0020	344	374	345	374	4	33	16.84	0.0084	5.6e-06	Tetratricopeptide repeat
