Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PDZ	PF00595.27	CL0466	472	552	475	541	4	72	37.05	3.4e-09	1.7e-12	PDZ domain
PDZ	PF00595.27	CL0466	642	720	644	720	2	82	35.83	8.2e-09	4.2e-12	PDZ domain
PDZ	PF00595.27	CL0466	841	922	847	921	8	81	40.86	2.2e-10	1.1e-13	PDZ domain
PDZ	PF00595.27	CL0466	998	1091	999	1090	2	81	52.20	6.4e-14	3.2e-17	PDZ domain
PDZ	PF00595.27	CL0466	1152	1231	1153	1228	2	79	50.38	2.4e-13	1.2e-16	PDZ domain
PDZ_6	PF17820.4	CL0466	497	554	498	554	2	54	27.75	2.0e-06	1.0e-09	PDZ domain
PDZ_6	PF17820.4	CL0466	1037	1091	1039	1089	3	51	41.28	1.2e-10	5.9e-14	PDZ domain
PDZ_6	PF17820.4	CL0466	1177	1232	1181	1232	5	54	37.76	1.5e-09	7.5e-13	PDZ domain
MAGI_u5	PF16666.8	-	728	840	728	840	1	109	126.71	5.6e-37	2.9e-40	Unstructured region on MAGI
MAGI_u1	PF16663.8	-	202	261	202	261	1	60	110.55	2.9e-32	1.5e-35	Unstructured region on MAGI
WW	PF00397.29	CL0680	302	331	302	331	1	31	38.06	1.3e-09	6.7e-13	WW domain
WW	PF00397.29	CL0680	361	390	361	390	1	31	28.48	1.3e-06	6.6e-10	WW domain
Guanylate_kin	PF00625.24	CL0023	126	200	139	190	31	82	40.67	2.2e-10	1.1e-13	Guanylate kinase
