Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
ubiquitin	PF00240.26	CL0072	3	74	3	74	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	79	150	79	150	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	155	226	155	226	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	231	302	231	302	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	307	378	307	378	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	383	454	383	454	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	459	530	459	530	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	535	606	535	606	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
ubiquitin	PF00240.26	CL0072	611	682	611	682	1	72	112.33	7.1e-33	7.6e-36	Ubiquitin family
Rad60-SLD	PF11976.11	CL0072	1	71	1	71	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	77	147	77	147	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	153	223	153	223	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	229	299	229	299	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	305	375	305	375	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	381	451	381	451	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	457	527	457	527	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	533	603	533	603	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD	PF11976.11	CL0072	609	679	609	679	1	72	57.10	1.3e-15	1.4e-18	Ubiquitin-2 like Rad60 SUMO-like
Ubiquitin_2	PF14560.9	CL0072	2	70	12	69	15	80	19.82	0.00089	9.6e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	77	146	87	145	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	153	222	163	221	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	229	298	239	297	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	305	374	315	373	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	381	450	391	449	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	457	526	467	525	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	533	602	543	601	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
Ubiquitin_2	PF14560.9	CL0072	609	678	619	677	14	80	19.94	0.00082	8.8e-07	Ubiquitin-like domain
