Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description
PRY	PF13765.9	CL0004	289	337	289	337	1	49	78.13	2.9e-22	1.5e-25	SPRY-associated domain
SPRY	PF00622.31	CL0004	341	461	341	455	1	114	70.05	1.9e-19	9.6e-23	SPRY domain
zf-C3HC4	PF00097.28	CL0229	16	54	16	54	1	41	41.83	7.6e-11	3.9e-14	Zinc finger, C3HC4 type (RING finger)
zf-RING_UBOX	PF13445.9	CL0229	16	52	16	52	1	40	41.39	1.2e-10	6.0e-14	RING-type zinc-finger
zf-C3HC4_4	PF15227.9	CL0229	16	54	16	54	1	42	39.30	5.6e-10	2.9e-13	zinc finger of C3HC4-type, RING
zf-RING_2	PF13639.9	CL0229	14	55	15	55	2	44	38.87	9.1e-10	4.6e-13	Ring finger domain
zf-C3HC4_2	PF13923.9	CL0229	15	54	16	54	2	40	37.66	1.5e-09	7.5e-13	Zinc finger, C3HC4 type (RING finger)
zf-C3HC4_3	PF13920.9	CL0229	12	59	13	57	2	46	34.91	1.1e-08	5.5e-12	Zinc finger, C3HC4 type (RING finger)
zf-B_box	PF00643.27	-	87	128	90	128	4	42	33.67	3.3e-08	1.7e-11	B-box zinc finger
zf-RING_5	PF14634.9	CL0229	15	56	16	56	2	44	31.53	1.3e-07	6.9e-11	zinc-RING finger domain
